,InAcc ID, 2020 total amount ,GSC Top3,GSC Top3 pct,GSC Recommendation Top3
89,71488," 33,750,937 ","FIQ - TAPE TERM/SPLICING KITS,FIL - 23 RUBBER TAPE,FIR - 13 SEMI-CONDUCTING TAPE",0.932540775,"('FIC - 33 VINYL TAPE', 3193839.640960685)('FIN - ALL MASTICS', 3020771.3305545896)('FIE - 35 VINYL TAPE', 2355333.086939349)"
652,215051," 13,308,399 ","SLR - LIGHT REDIRECTING FILMS,FJM - QTIII RUBBER TERMINATIONS",1,"('RWI - DIELECTRIC TAPES', 1976106.7430791021)('BQD - DIELECTRIC AND COSMETIC FILM', 1717685.310989127)('FJF - QSIII & QS-2000 SPLICES', 1554.7681836461988)"
418,156337," 10,636,447 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 4480055.588002985)('FTU - 92/1205 & OTH HI-TEMP', 3383480.233071713)('FTZ - 1/S10/S20 EPOXY TAPES', 3277799.615884204)"
1842,293545," 9,741,250 ",RWA - SOLAR ACRYLIC FOAM TAPES,1,"('FJB - COLD SHRINK TUBING', 994212.1648702766)('RWR - WIND PROTECTION TAPES', 662808.1099135176)('RWO - WIND PROCESSING AIDS', 437395.0370920803)"
698,216415," 8,777,211 ","SLR - LIGHT REDIRECTING FILMS,RWI - DIELECTRIC TAPES",1,"('BQD - DIELECTRIC AND COSMETIC FILM', 1187599.9538173527)('FJM - QTIII RUBBER TERMINATIONS', 93484.95491012809)()"
29,58665," 8,588,910 ","FJI - SEPARABLE CONNECTORS,FJF - QSIII & QS-2000 SPLICES,FJL - QTII,RUBBER, PORCELAIN TERMI",0.880200534,"('FJC - ENERGY RESINS', 1514527.2348447565)('FJZ - MISC PRODUCT - POWER PROD', 1399543.6181284823)('FIT - SILICONE TAPE', 524716.8384049827)"
32,58686," 7,709,681 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJF - QSIII & QS-2000 SPLICES,FJI - SEPARABLE CONNECTORS",0.916656619,"('FIT - SILICONE TAPE', 537859.5567115303)('FIQ - TAPE TERM/SPLICING KITS', 380958.48761507706)('FIN - ALL MASTICS', 366895.2921607562)"
1048,262261," 7,076,204 ","FTM - POLYESTER FILM TAPES,FTU - 92/1205 & OTH HI-TEMP,FTB - COMPOSITE, ACETATE & PAPER",0.9955919,"('FSQ - GLASS CLOTH TAPES', 1645910.3998869164)('FSB - COPPER FOIL TAPES', 1320215.3281618601)('FTR - OEM REINFORCED FILAMENT TAPE', 1233360.1179778515)"
57,69801," 6,263,123 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 2638018.165021803)('FTU - 92/1205 & OTH HI-TEMP', 1992315.0819238084)('FTZ - 1/S10/S20 EPOXY TAPES', 1930086.5264170596)"
965,253495," 6,131,841 ","FTM - POLYESTER FILM TAPES,FTU - 92/1205 & OTH HI-TEMP",1,"('FTB - COMPOSITE, ACETATE & PAPER', 2524636.073603239)('FTZ - 1/S10/S20 EPOXY TAPES', 1852633.6778730187)('FSQ - GLASS CLOTH TAPES', 1444700.5618998446)"
3012,309348," 6,113,403 ",SLR - LIGHT REDIRECTING FILMS,1,"('RWI - DIELECTRIC TAPES', 907975.6485710666)('BQD - DIELECTRIC AND COSMETIC FILM', 789236.9376039909)('FJM - QTIII RUBBER TERMINATIONS', 67038.73143811776)"
660,215750," 5,894,664 ",RWO - WIND PROCESSING AIDS,1,"('RWR - WIND PROTECTION TAPES', 720362.8766854806)('RWA - SOLAR ACRYLIC FOAM TAPES', 264678.2216284302)('FJB - COLD SHRINK TUBING', 216108.86300564418)"
1227,276370," 5,646,782 ",RWR - WIND PROTECTION TAPES,1,"('RWO - WIND PROCESSING AIDS', 690070.2051885927)('RWA - SOLAR ACRYLIC FOAM TAPES', 384214.82962998474)('FJB - COLD SHRINK TUBING', 313710.0947346113)"
